"endTime","artistName","trackName","msPlayed"
"2024-01-21 20:02","Talk Down","Red Wine",185280
"2024-01-21 20:05","Talk Down","Red Wine",185280
"2024-01-21 20:09","Talk Down","Red Wine",185280
"2024-01-21 20:12","Talk Down","Red Wine",185280
"2024-01-21 20:15","Talk Down","Red Wine",185280
"2024-01-21 20:18","Talk Down","Red Wine",185280
"2024-01-21 20:21","Talk Down","Red Wine",185280
"2024-01-21 20:24","Talk Down","Red Wine",185280
"2024-01-21 20:27","Talk Down","Red Wine",185280
"2024-01-21 20:30","Talk Down","Red Wine",185280
"2024-01-21 20:33","Talk Down","Red Wine",185280
"2024-01-21 20:36","Talk Down","Red Wine",185280
"2024-01-21 21:03","Parsa","Dead Inside",12406
"2024-01-21 21:30","Talk Down","Red Wine",328173
"2024-01-21 21:33","Talk Down","Red Wine",185280
"2024-01-21 21:36","Talk Down","Red Wine",185280
"2024-01-21 21:39","Talk Down","Red Wine",185280
"2024-01-21 21:42","Talk Down","Red Wine",185280
"2024-01-21 21:45","Talk Down","Red Wine",185280
"2024-01-21 21:48","Talk Down","Red Wine",185280
"2024-01-21 21:48","Talk Down","Red Wine",0
"2024-01-21 21:49","OG LOCKE","THE GIRL IS MINE",66303
"2024-01-21 21:51","OG LOCKE","THE GIRL IS MINE",97746
"2024-01-21 21:52","OG LOCKE","THE GIRL IS MINE",97746
"2024-01-21 21:53","OG LOCKE","THE GIRL IS MINE",40264
"2024-01-21 21:56","DYSTINCT","La",148328
"2024-01-21 21:59","Makar","Je M'en Fous",177361
"2024-01-21 22:01","Oualid","Di Mochkila",145783
"2024-01-21 22:03","Masri","El 7ob Sa3b",142800
"2024-01-21 22:06","Jungeli","Rashel",176160
"2024-01-21 22:10","Lartiste","00:00",238939
"2024-01-21 22:13","Don Xhoni","Lej",148000
"2024-01-21 22:16","DYSTINCT","Layali",195937
"2024-01-21 22:19","Franglish","Ça c'est bien",159299
"2024-01-21 22:22","Moha K","Allo",195375
"2024-01-21 22:26","Sherine","كلام عينيه",235833
"2024-01-21 22:28","Inez","Ana Lik",152118
"2024-01-21 22:32","RYM","Houwa",211891
"2024-01-21 22:35","DYSTINCT","Ya La Laa",156109
"2024-01-21 22:37","Oualid","Nabghiha",140666
"2024-01-21 22:40","Makar","Alone",163069
"2024-01-21 22:42","Masri","Enty M3aya",165142
"2024-01-21 22:45","Moha K","Besoin de toi",162426
"2024-01-21 22:49","DYSTINCT","Niye (feat. Ali471)",204905
"2024-01-21 22:51","DJ Sem","Oh Bébé feat. DYSTINCT",172440
"2024-01-21 22:54","Oualid","Tigui",144033
"2024-01-21 22:57","Retrib","i know what you want x arabic ريمكس - شيرين - صبرى قليل (tiktok song)",191344
"2024-01-21 23:00","Soolking","Y Dor",145620
"2024-01-21 23:02","DYSTINCT","Gana (feat. Hatim Ammor)",132123
"2024-01-21 23:04","Moha K","DARBA 9ADIYA",149209
"2024-01-21 23:07","Lamis Kan","Mesytara",168465
"2024-01-22 05:40","Masih","Rose",1301
"2024-01-22 05:40","UB40","Red Red Wine",2380
"2024-01-22 05:42","Talk Down","Red Wine",134240
"2024-01-22 05:45","Talk Down","Red Wine",185280
"2024-01-22 05:49","Talk Down","Red Wine",185280
"2024-01-22 05:51","Ebi","Harighe Sabz",43080
"2024-01-22 05:51","Parsa","Dead Inside",2800
"2024-01-22 05:51","Vinak","Beshmar",120900
"2024-01-22 05:52","Tohi","Chabela",11110
"2024-01-22 05:52","Masih","Rose",2650
"2024-01-22 05:52","Alireza Talischi","Paghadam",2320
"2024-01-22 05:52","Mahyar","Bishtar Az Hamishe",13340
"2024-01-22 05:52","Naser Zeynali","Gole Man",19190
"2024-01-22 05:52","Ali Mir","Na Dige",16600
"2024-01-22 05:53","Alipasha","Abri",11020
"2024-01-22 05:53","Shayan Yo","Sare To",10300
"2024-01-22 05:53","Amirabbas Golab","Bazam Raft",5760
"2024-01-22 05:53","Ebi","Pichak",7130
"2024-01-22 05:56","Talk Down","Red Wine",185280
"2024-01-22 06:00","Talk Down","Red Wine",185280
"2024-01-22 06:03","Talk Down","Red Wine",185280
"2024-01-22 06:06","Talk Down","Red Wine",185280
"2024-01-22 06:09","Talk Down","Red Wine",185280
"2024-01-22 06:12","Talk Down","Red Wine",185280
"2024-01-22 06:15","Talk Down","Red Wine",185280
"2024-01-22 06:19","Talk Down","Red Wine",185280
"2024-01-22 06:22","Talk Down","Red Wine",185280
"2024-01-22 06:25","Talk Down","Red Wine",185280
"2024-01-22 06:28","Talk Down","Red Wine",185280
"2024-01-22 06:31","Talk Down","Red Wine",185280
"2024-01-22 06:34","Talk Down","Red Wine",185280
"2024-01-22 06:37","Talk Down","Red Wine",185280
"2024-01-22 06:40","Talk Down","Red Wine",185280
"2024-01-22 06:43","Talk Down","Red Wine",185280
"2024-01-22 06:46","Talk Down","Red Wine",185280
"2024-01-22 06:49","Talk Down","Red Wine",185280
"2024-01-22 06:53","Talk Down","Red Wine",185280
"2024-01-22 06:56","Talk Down","Red Wine",185280
"2024-01-22 06:59","Talk Down","Red Wine",185280
"2024-01-22 07:02","Talk Down","Red Wine",185280
"2024-01-22 07:05","Talk Down","Red Wine",185280
"2024-01-22 07:08","Talk Down","Red Wine",185280
"2024-01-22 07:11","Talk Down","Red Wine",185280
"2024-01-22 07:14","Talk Down","Red Wine",185280
"2024-01-22 07:15","Talk Down","Red Wine",3710
"2024-01-22 14:31","Talk Down","Red Wine",361290
"2024-01-22 14:34","Talk Down","Red Wine",185280
"2024-01-22 14:37","Talk Down","Red Wine",185280
"2024-01-22 14:40","Talk Down","Red Wine",185280
"2024-01-22 14:43","Talk Down","Red Wine",185280
"2024-01-22 14:46","Talk Down","Red Wine",185280
"2024-01-22 14:49","Talk Down","Red Wine",185280
"2024-01-22 14:53","Talk Down","Red Wine",185280
"2024-01-22 14:56","Talk Down","Red Wine",185280
"2024-01-22 14:59","Talk Down","Red Wine",185280
"2024-01-22 15:02","Talk Down","Red Wine",185280
"2024-01-22 15:05","Talk Down","Red Wine",185280
"2024-01-22 15:08","Talk Down","Red Wine",185280
"2024-01-22 15:11","Talk Down","Red Wine",185280
"2024-01-22 15:14","Talk Down","Red Wine",185280
"2024-01-22 15:17","Talk Down","Red Wine",185280
"2024-01-22 15:20","Talk Down","Red Wine",185280
"2024-01-22 15:24","Talk Down","Red Wine",209213
"2024-01-22 15:27","Talk Down","Red Wine",171906
"2024-01-22 15:29","OG LOCKE","THE GIRL IS MINE",97746
"2024-01-22 15:30","Lartiste","00:00",2790
"2024-01-22 15:30","OG LOCKE","THE GIRL IS MINE",55293
"2024-01-22 15:33","Moha K","Rapapap",165146
"2024-01-22 15:36","Lacrim","Act 6",200894
"2024-01-22 15:39","Owen","Lean & $prite",154015
"2024-01-22 15:42","Retrib","i know what you want x arabic ريمكس - شيرين - صبرى قليل (tiktok song)",191344
"2024-01-22 15:42","Oualid","Di Mochkila",39639
"2024-01-22 15:43","Inez","Ana Lik",4800
"2024-01-22 15:46","Talk Down","Red Wine",185280
"2024-01-22 15:50","Lartiste","00:00",238939
"2024-01-22 15:52","Moha K","Rapapap",165146
"2024-01-22 15:56","Lacrim","Act 6",200894
"2024-01-22 15:58","Owen","Lean & $prite",154015
"2024-01-22 16:02","Retrib","i know what you want x arabic ريمكس - شيرين - صبرى قليل (tiktok song)",191344
"2024-01-22 16:05","Oualid","Di Mochkila",145783
"2024-01-22 16:08","Inez","Ana Lik",152118
"2024-01-22 16:09","Lartiste","Zarzour",114839
"2024-01-22 16:09","Inez","Ana Lik",820
"2024-01-22 16:10","Retrib","i know what you want x arabic ريمكس - شيرين - صبرى قليل (tiktok song)",1070
"2024-01-22 16:10","Oualid","Di Mochkila",1130
"2024-01-22 16:10","Owen","Lean & $prite",1140
"2024-01-22 16:12","Lacrim","Act 6",139650
"2024-01-22 22:24","Oualid","Fat L'Fout",97077
"2024-01-22 22:27","Talk Down","Red Wine",171392
"2024-01-22 22:27","Owen","Lean & $prite",2218
"2024-01-22 22:29","Kerchak","Roule un autre - A COLORS SHOW",134080
"2024-01-22 22:32","Jazeek","Amsterdam",159587
"2024-01-22 22:34","Niaks","C'est miné",144333
"2024-01-22 22:36","Lacrim","CODE BARRE",98023
"2024-01-22 22:38","OG LOCKE","THE GIRL IS MINE",97746
"2024-01-22 22:50","BOJAN","KREIS",170495
"2024-01-22 22:52","EREN CAN","Was dir fehlt",97563
"2024-01-23 07:41","Talk Down","Red Wine",323750
"2024-01-23 07:43","Lartiste","00:00",106930
"2024-01-23 07:46","Talk Down","Red Wine",185280
"2024-01-23 07:47","Lartiste","00:00",37800
"2024-01-23 07:59","Talk Down","Red Wine",722980
"2024-01-23 07:59","Lartiste","00:00",0
"2024-01-23 08:02","Kerchak","Roule un autre - A COLORS SHOW",176086
"2024-01-23 08:06","Lacrim","CODE BARRE",241480
"2024-01-23 08:08","Jazeek","Amsterdam",159587
"2024-01-23 08:11","Jazeek","Ohne dich",162500
"2024-01-23 08:14","Makar","Je M'en Fous",177361
"2024-01-23 08:20","Talk Down","Red Wine",363014
"2024-01-23 08:31","Paloma Mami","Fingías",668223
"2024-01-23 08:35","Talk Down","Red Wine",185280
"2024-01-23 08:38","Talk Down","Red Wine",185280
"2024-01-23 08:39","Moha K","Besoin de toi",42266
"2024-01-23 08:41","Kerchak","Roule un autre - A COLORS SHOW",176086
"2024-01-23 14:52","Talk Down","Red Wine",504933
"2024-01-23 14:55","Kerchak","Roule un autre - A COLORS SHOW",176086
"2024-01-23 14:59","Lacrim","CODE BARRE",241480
"2024-01-23 15:02","Makar","Dream",144000
"2024-01-23 15:04","C.Gambino","Regler (Båset)",156408
"2024-01-23 15:07","Moha K","Besoin de toi",162426
"2024-01-23 15:11","Lacrim","Senor de los Gallos",233466
"2024-01-23 15:14","AriBeatz","J-Lo",161574
"2024-01-23 15:17","Niaks","C'est miné",1940
"2024-01-23 15:17","Jazeek","Amsterdam",8377
"2024-01-23 15:17","Lacrim","JOHN GOTTI (feat. Baby Gang)",174280
"2024-01-23 15:20","Jazeek","Amsterdam",159587
"2024-01-23 15:22","Niaks","C'est miné",144333
"2024-01-23 15:26","Lacrim","CODE BARRE",241480
"2024-01-23 15:29","Mister You","Le neiman",195447
"2024-01-23 15:30","Lacrim","CODE BARRE",260
